subset,model,split,train_size,dev_size,test_size,model_name,max_length,batch_size,eval_batch_size,learning_rate,epochs,best_epoch,weight_decay,warmup_ratio,fp16,train_time_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_precision,micro_recall,micro_f1
ViNewsRec-50K,XLM-R-base,dev,40000,5000,5000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,16616.21,0.7042,0.39472474068421554,0.3703020059717816,0.370341935447513,0.6843920948764715,0.7042,0.6905116340031131,0.7042,0.7042,0.7042
ViNewsRec-50K,XLM-R-base,test,40000,5000,5000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,16616.21,0.7112,0.4037463913149752,0.3899425087751952,0.38674332390273963,0.69515386182149,0.7112,0.6998437341791507,0.7112,0.7112,0.7112
ViNewsRec-100K,XLM-R-base,dev,80000,10000,10000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,33214.6,0.7273,0.49293072864919407,0.4372270102351656,0.44688121292003563,0.7180982458692462,0.7273,0.7202468284107779,0.7273,0.7273,0.7273
ViNewsRec-100K,XLM-R-base,test,80000,10000,10000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,33214.6,0.7358,0.49164951641959576,0.45315266609423055,0.4594608597455808,0.7271112488413438,0.7358,0.7293869816822396,0.7358,0.7358,0.7358
ViNewsRec-150K,XLM-R-base,dev,120000,15000,15000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,49843.17,0.7413333333333333,0.5370955478932398,0.47878967303922987,0.4901271495763034,0.7361001461942898,0.7413333333333333,0.7366029708335967,0.7413333333333333,0.7413333333333333,0.7413333333333333
ViNewsRec-150K,XLM-R-base,test,120000,15000,15000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,49843.17,0.7401333333333333,0.5538420805901157,0.4807994835165189,0.49278909941937205,0.7352329266349928,0.7401333333333333,0.7349920647234288,0.7401333333333333,0.7401333333333333,0.7401333333333333
ViNewsRec-200K,XLM-R-base,dev,160000,20000,20000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,66559.07,0.7591,0.572774939093857,0.5077836794968614,0.5183004453517928,0.7534978851906512,0.7591,0.7539259539261488,0.7591,0.7591,0.7591
ViNewsRec-200K,XLM-R-base,test,160000,20000,20000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/xlm-roberta-base,256,4,8,2e-05,3,3,0.01,0.1,False,66559.07,0.7586,0.5667074359810735,0.5082191090913727,0.5204226076808269,0.7524689979219296,0.7586,0.7532864549689838,0.7586,0.7586,0.7586
