subset,model,split,train_size,dev_size,test_size,model_name,max_length,batch_size,eval_batch_size,learning_rate,epochs,best_epoch,weight_decay,warmup_ratio,fp16,train_time_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_precision,micro_recall,micro_f1
ViNewsRec-50K,mBERT,dev,40000,5000,5000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,15388.44,0.7042,0.3932413953865372,0.3647956527167021,0.3664983636913076,0.6836441996985824,0.7042,0.6900718281350556,0.7042,0.7042,0.7042
ViNewsRec-50K,mBERT,test,40000,5000,5000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,15388.44,0.6994,0.406672169109277,0.36383097806422515,0.368628334939954,0.6812739658006485,0.6994,0.6860831107895988,0.6994,0.6994,0.6994
ViNewsRec-100K,mBERT,dev,80000,10000,10000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,30793.33,0.7245,0.5042072608884393,0.4264464531714659,0.4421167044616168,0.7163650930289465,0.7245,0.7170599043128736,0.7245,0.7245,0.7245
ViNewsRec-100K,mBERT,test,80000,10000,10000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,30793.33,0.7354,0.5110810538174153,0.45340238223249973,0.4692460047315253,0.7282094151846988,0.7354,0.7293102468611624,0.7354,0.7354,0.7354
ViNewsRec-150K,mBERT,dev,120000,15000,15000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,46207.92,0.739,0.508343766256859,0.4657684759272447,0.4775363146137588,0.7309428730221104,0.739,0.7334767289859895,0.739,0.739,0.739
ViNewsRec-150K,mBERT,test,120000,15000,15000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,46207.92,0.7376,0.531047814969708,0.477924134667369,0.49209655631330335,0.7305047281153083,0.7376,0.7318854517273686,0.7376,0.7376,0.7376
ViNewsRec-200K,mBERT,dev,160000,20000,20000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,61611.79,0.75345,0.5842198109396445,0.501004399263034,0.5199263134318789,0.7475101852444883,0.75345,0.7481634123090906,0.75345,0.75345,0.75345
ViNewsRec-200K,mBERT,test,160000,20000,20000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/bert-base-multilingual-cased,256,4,8,2e-05,3,3,0.01,0.1,False,61611.79,0.7534,0.5759696669374604,0.4995847326355775,0.5202553401507739,0.7473202699535828,0.7534,0.7482873144976973,0.7534,0.7534,0.7534
