subset,model,split,train_size,dev_size,test_size,lr,epoch,wordNgrams,dim,loss,thread,train_time_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_precision,micro_recall,micro_f1
ViNewsRec-50K,fastText,dev,40000,5000,5000,0.5,10,2,100,softmax,8,22.62,0.5886,0.2419427147534141,0.20988423620686417,0.21130037844042143,0.5507418943707129,0.5886,0.5611414646488845,0.5886,0.5886,0.5886
ViNewsRec-50K,fastText,test,40000,5000,5000,0.5,10,2,100,softmax,8,22.62,0.5876,0.24303025408727003,0.20908040426611182,0.21281135228544149,0.551014225491802,0.5876,0.5608098609096289,0.5876,0.5876,0.5876
ViNewsRec-100K,fastText,dev,80000,10000,10000,0.5,10,2,100,softmax,8,41.92,0.6288,0.3557880451964621,0.2600763570619524,0.2743611473143535,0.6092976420231259,0.6288,0.6123189195708749,0.6288,0.6288,0.6288
ViNewsRec-100K,fastText,test,80000,10000,10000,0.5,10,2,100,softmax,8,41.92,0.6201,0.2946164732521372,0.2518823679873008,0.2606689524317975,0.5974570256550098,0.6201,0.6036362477398032,0.6201,0.6201,0.6201
ViNewsRec-150K,fastText,dev,120000,15000,15000,0.5,10,2,100,softmax,8,64.18,0.6502,0.3669738812404129,0.2961580256739478,0.31165560476241816,0.634391002220166,0.6502,0.6380842900956909,0.6502,0.6502,0.6502
ViNewsRec-150K,fastText,test,120000,15000,15000,0.5,10,2,100,softmax,8,64.18,0.6423333333333333,0.3658470061183043,0.29245456770187234,0.30765371354458215,0.624707722021226,0.6423333333333333,0.6293115454184821,0.6423333333333333,0.6423333333333333,0.6423333333333333
ViNewsRec-200K,fastText,dev,160000,20000,20000,0.5,10,2,100,softmax,8,97.2,0.66025,0.4126051508838193,0.32163493249120956,0.3420097136023588,0.645871486307529,0.66025,0.6488276709947214,0.66025,0.66025,0.66025
ViNewsRec-200K,fastText,test,160000,20000,20000,0.5,10,2,100,softmax,8,97.2,0.66545,0.43056896851519816,0.3286348044484234,0.3509229492790287,0.6523399217667037,0.66545,0.654258415309639,0.66545,0.66545,0.66545
