subset,model,split,train_size,dev_size,test_size,model_name,max_length,batch_size,eval_batch_size,learning_rate,epochs,best_epoch,weight_decay,warmup_ratio,fp16,train_time_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_precision,micro_recall,micro_f1
ViNewsRec-50K,PhoBERT-base,dev,40000,5000,5000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,13671.69,0.7208,0.4083930691162439,0.36747153442596386,0.37125947915509355,0.7019144906308483,0.7208,0.7076098405389251,0.7208,0.7208,0.7208
ViNewsRec-50K,PhoBERT-base,test,40000,5000,5000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,13671.69,0.7184,0.39933721795789323,0.3714181231446364,0.3737749736444775,0.7028500569527306,0.7184,0.707146424784551,0.7184,0.7184,0.7184
ViNewsRec-100K,PhoBERT-base,dev,80000,10000,10000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,27339.6,0.7391,0.48265489552516233,0.4551400835059442,0.4563572477510585,0.7300509903334932,0.7391,0.732585466617317,0.7391,0.7391,0.7391
ViNewsRec-100K,PhoBERT-base,test,80000,10000,10000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,27339.6,0.7422,0.4839108277591404,0.4542918172406476,0.4603679604030323,0.733548094765513,0.7422,0.7359298306280936,0.7422,0.7422,0.7422
ViNewsRec-150K,PhoBERT-base,dev,120000,15000,15000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,41006.35,0.7504666666666666,0.5387699233768366,0.4803513370605694,0.4916479377401844,0.7441066938685862,0.7504666666666666,0.7453934957268512,0.7504666666666666,0.7504666666666666,0.7504666666666666
ViNewsRec-150K,PhoBERT-base,test,120000,15000,15000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,41006.35,0.7529333333333333,0.5711073831361616,0.49464953716882587,0.5093317843768644,0.748135487202708,0.7529333333333333,0.747853635050049,0.7529333333333333,0.7529333333333333,0.7529333333333333
ViNewsRec-200K,PhoBERT-base,dev,160000,20000,20000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,54659.62,0.7514,0.5201975129688315,0.4598133112896526,0.47248175258442077,0.7400917646493727,0.7514,0.7434037566786491,0.7514,0.7514,0.7514
ViNewsRec-200K,PhoBERT-base,test,160000,20000,20000,/home/duongtichdat/ViNewsRec-Benchmark/hf_models/phobert-base,256,4,8,2e-05,3,3,0.01,0.1,False,54659.62,0.75065,0.5109454948418661,0.45873656698088333,0.4681788141935221,0.740340827647174,0.75065,0.7430829825022964,0.75065,0.75065,0.75065
