subset,model,split,train_size,dev_size,test_size,num_features,max_features,ngram_range,min_df,sublinear_tf,classifier,C,vectorize_time_seconds,train_time_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_precision,micro_recall,micro_f1
ViNewsRec-50K,TF-IDF + Linear SVM,dev,40000,5000,5000,500000,500000,"1,2",2,True,LinearSVC,1.0,54.54,102.05,0.6262,0.3720422935695537,0.26217557981154554,0.2776540717043792,0.6005293274899641,0.6262,0.5926166173751468,0.6262,0.6262,0.6262
ViNewsRec-50K,TF-IDF + Linear SVM,test,40000,5000,5000,500000,500000,"1,2",2,True,LinearSVC,1.0,54.54,102.05,0.6304,0.40150819561714385,0.2806973388116521,0.29957124259384565,0.6127085191189497,0.6304,0.5992595074853151,0.6304,0.6304,0.6304
ViNewsRec-100K,TF-IDF + Linear SVM,dev,80000,10000,10000,500000,500000,"1,2",2,True,LinearSVC,1.0,109.65,202.39,0.6577,0.4722729371385459,0.3137000961254577,0.3453022587916627,0.6420199035697324,0.6577,0.6348543778703963,0.6577,0.6577,0.6577
ViNewsRec-100K,TF-IDF + Linear SVM,test,80000,10000,10000,500000,500000,"1,2",2,True,LinearSVC,1.0,109.65,202.39,0.6524,0.4665419588993657,0.31356160772605557,0.3443678122137897,0.6347255839558105,0.6524,0.6281934759725536,0.6524,0.6524,0.6524
ViNewsRec-150K,TF-IDF + Linear SVM,dev,120000,15000,15000,500000,500000,"1,2",2,True,LinearSVC,1.0,163.97,300.85,0.6628666666666667,0.49639901642778544,0.3294893695701276,0.3606820678419304,0.6505413381013053,0.6628666666666667,0.6430511241505193,0.6628666666666667,0.6628666666666667,0.6628666666666667
ViNewsRec-150K,TF-IDF + Linear SVM,test,120000,15000,15000,500000,500000,"1,2",2,True,LinearSVC,1.0,163.97,300.85,0.6622666666666667,0.45890204694787845,0.3310505275012377,0.361108203915986,0.6460993004452547,0.6622666666666667,0.6416198018056181,0.6622666666666667,0.6622666666666667,0.6622666666666667
ViNewsRec-200K,TF-IDF + Linear SVM,dev,160000,20000,20000,500000,500000,"1,2",2,True,LinearSVC,1.0,214.3,399.72,0.67735,0.5050799104632747,0.35388911152574676,0.38671363014123583,0.6627883095424559,0.67735,0.6592236679673561,0.67735,0.67735,0.67735
ViNewsRec-200K,TF-IDF + Linear SVM,test,160000,20000,20000,500000,500000,"1,2",2,True,LinearSVC,1.0,214.3,399.72,0.6793,0.5313228868963911,0.3693116108693443,0.40382876708930343,0.664608772154779,0.6793,0.6610524799248623,0.6793,0.6793,0.6793
